 時間帯,リンクID,種別,最大セクション,自由速度,平均速度,率
  600, 911090011,    1,   18,    7,     7.0,   1.000
  600, 921090031,    1,   19,    7,     7.0,   1.000
  600, 920600031,    1,   99,    7,     7.0,   1.000
  600, 920280031,    1,    3,    7,     7.0,   1.000
  600, 921700011,    1,   29,    7,     7.0,   1.000
  600, 920100031,    1,   54,    7,     7.0,   1.000
  600, 320010251,    1,   20,    9,     8.9,   0.993
  600, 920980011,    1,   15,    7,     7.0,   1.000
  600, 620100091,    1,   97,   12,    12.0,   0.997
  600, 921790011,    1,   62,    7,     7.0,   1.000
  600, 921310051,    1,   52,    7,     7.0,   1.000
  600, 620100191,    1,    3,   12,    12.0,   1.000
  600, 920960171,    1,   84,    7,     7.0,   1.000
  600, 620100171,    1,  115,   12,    12.0,   1.000
  600, 310010091,    1,  141,   15,    14.9,   0.997
  600, 920140011,    1,   16,    7,     7.0,   1.000
  600, 310010291,    1,    7,    9,     9.0,   1.000
  600, 920730011,    1,   22,    7,     7.0,   1.000
  600, 310010351,    1,   13,    9,     9.0,   1.000
  600, 620100251,    1,   25,   12,    12.0,   0.998
  600, 920810011,    1,   47,    7,     7.0,   1.000
  600, 310010331,    1,   10,    9,     9.0,   1.000
  600, 921780031,    1,    7,    7,     7.0,   1.000
  600, 620100211,    1,   51,   12,    12.0,   0.999
  600, 911900011,    1,  229,    7,     7.0,   1.000
  600, 910290071,    1,   34,    7,     6.9,   0.987
  600, 920690031,    1,   44,    7,     7.0,   1.000
  600, 921310011,    1,   76,    7,     7.0,   0.999
  600, 910490011,    1,   84,    7,     7.0,   0.996
  600, 920810031,    1,   46,    7,     7.0,   1.000
  600, 921340011,    1,   83,    7,     7.0,   1.000
  600, 911120031,    1,  109,    9,     9.0,   1.000
  600, 921120051,    1,   17,    7,     6.9,   0.993
  600, 920070031,    1,   17,    7,     7.0,   1.000
  600, 921340031,    1,   28,    7,     7.0,   0.999
  600, 910090011,    1,  116,    7,     7.0,   1.000
  600, 910370011,    1,   76,    7,     7.0,   1.000
  600, 921440011,    1,   58,    7,     7.0,   1.000
  600, 920980071,    1,    7,    7,     7.0,   1.000
  600, 921890011,    1,   68,    7,     7.0,   1.000
  600, 921160011,    1,    5,    7,     7.0,   1.000
  600, 920140031,    1,   18,    7,     7.0,   1.000
  600, 620140211,    1,   57,    9,     9.0,   1.000
  600, 920210251,    1,   16,    9,     9.0,   1.000
  600, 920420011,    1,   57,   12,    12.0,   1.000
  600, 320020151,    1,   80,   12,    11.5,   0.958
  600, 620100011,    1,   10,   12,    12.0,   1.000
  600, 921270071,    1,   19,    7,     7.0,   1.000
  600, 620080071,    1,   32,   12,    12.0,   1.000
  600, 720020061,    1,  113,   15,    15.0,   1.000
  600, 320020071,    1,   17,   12,    12.0,   0.999
  600, 920780011,    1,   32,    9,     9.0,   1.000
  600, 921350051,    1,   32,    9,     9.0,   1.000
  600, 920470011,    1,    8,    7,     7.0,   1.000
  600, 620010051,    1,   24,   12,    12.0,   1.000
  600, 920210011,    1,   13,    9,     9.0,   1.000
  600, 620010011,    1,   23,   12,    12.0,   1.000
  600, 920470091,    1,   51,    9,     9.0,   1.000
  600, 720020021,    1,  100,   15,    15.0,   1.000
  600, 620080111,    1,  102,   12,    12.0,   1.000
  600, 921020011,    1,  139,    9,     9.0,   1.000
  600, 920910011,    1,  171,    9,     9.0,   1.000
  600, 921020031,    1,   30,    9,     9.0,   1.000
  600, 921020071,    1,   33,    9,     9.0,   1.000
