 時間帯,リンクID,種別,最大セクション,自由速度,平均速度,率
  600, 910210251,    1,   16,    9,     7.1,   0.789
  600, 921370011,    1,   47,    7,     7.0,   0.998
  600, 910960011,    1,   44,    9,     8.9,   0.986
  600, 920960031,    1,   24,    9,     9.0,   1.000
  600, 310020191,    1,    4,   12,    11.9,   0.989
  600, 320020211,    1,   89,   12,    12.0,   0.999
  600, 920960011,    1,   44,    9,     9.0,   1.000
  600, 920210111,    1,   22,    9,     9.0,   1.000
  600, 610140271,    1,   38,   12,    12.0,   0.997
  600, 620140271,    1,   38,   12,    12.0,   1.000
  600, 320020091,    1,   31,   12,    11.9,   0.996
  600, 920760011,    1,  269,    7,     7.0,   1.000
  600, 911080011,    1,   80,   12,    11.6,   0.966
  600, 921080031,    1,   86,   12,    12.0,   1.000
  600, 610100011,    1,   10,   12,    11.5,   0.962
  600, 920420051,    1,   99,   12,    12.0,   1.000
  600, 911180091,    1,   27,    9,     9.0,   0.999
  600, 920240011,    1,   34,    9,     9.0,   1.000
  600, 921180111,    1,    8,    9,     9.0,   1.000
  600, 910900031,    1,   23,    7,     7.0,   0.996
  600, 911020111,    1,   77,    9,     8.9,   0.989
  600, 921420011,    1,    4,    7,     7.0,   1.000
  600, 921020131,    1,   55,    9,     9.0,   1.000
  600, 620140251,    1,  102,   12,    12.0,   1.000
  600, 620110151,    1,   66,   12,    12.0,   1.000
  600, 921250071,    1,   32,   12,    12.0,   1.000
  600, 620020051,    1,   77,   15,    15.0,   1.000
  600, 410070011,    1,   63,   15,    14.6,   0.975
  600, 420070031,    1,   48,   15,    15.0,   1.000
  600, 420070071,    1,   34,   15,    15.0,   1.000
  600, 420050141,    1,   31,   18,    18.0,   1.000
  600, 910210171,    1,   94,   12,    12.0,   1.000
  600, 910210151,    1,   19,   12,    12.0,   0.999
  600, 920210131,    1,   56,    9,     8.8,   0.981
  600, 911050071,    1,   30,   12,    11.9,   0.991
  600, 920260031,    1,   46,   12,    12.0,   1.000
  600, 310010051,    1,   23,   12,    11.8,   0.981
  600, 610110111,    1,   64,   12,    11.5,   0.959
  600, 620110131,    1,   30,   12,    12.0,   1.000
  600, 920620011,    1,  160,    7,     7.0,   1.000
  600, 910210271,    1,   69,   12,    11.2,   0.937
  600, 911340111,    1,   29,    7,     7.0,   1.000
  600, 910620071,    1,    5,    7,     6.9,   0.991
  600, 920620091,    1,   72,    7,     7.0,   1.000
  600, 910320011,    1,  109,    7,     7.0,   0.993
  600, 920290011,    1,   67,    7,     6.9,   0.987
  600, 911540011,    1,   77,    7,     7.0,   0.993
  600, 921390011,    1,   72,    7,     7.0,   0.999
  600, 921540031,    1,  200,    7,     7.0,   1.000
  600, 910240051,    1,   47,    9,     9.0,   1.000
  600, 911710091,    1,   38,    7,     7.0,   0.999
  600, 910040031,    1,   30,    7,     7.0,   0.999
  600, 911020311,    1,   35,    9,     8.9,   0.988
  600, 921020331,    1,   60,    9,     9.0,   1.000
  600, 921350031,    1,   64,    9,     9.0,   1.000
  600, 921020251,    1,  173,    7,     7.0,   1.000
  600, 911570011,    1,   97,    7,     7.0,   1.000
  600, 910990011,    1,   11,    7,     7.0,   0.997
  600, 921570031,    1,   61,    7,     7.0,   1.000
  600, 911340071,    1,   61,    7,     7.0,   1.000
  600, 911390031,    1,   57,    7,     7.0,   1.000
  600, 911450011,    1,   48,    9,     8.9,   0.984
  600, 910120011,    1,   73,    7,     6.9,   0.984
  600, 910030011,    1,   69,    7,     6.9,   0.987
  600, 921760011,    1,   42,    7,     7.0,   0.998
  600, 920030031,    1,  144,    7,     7.0,   1.000
  600, 911920031,    1,   51,    7,     7.0,   0.999
  600, 920130051,    1,   56,    7,     7.0,   0.994
  600, 921270051,    1,   10,    7,     7.0,   1.000
  600, 921710011,    1,   64,    7,     7.0,   1.000
  600, 911710051,    1,   14,    7,     7.0,   0.999
  600, 920670011,    1,   32,    7,     7.0,   1.000
  600, 921710071,    1,   49,    7,     6.9,   0.984
  600, 921590011,    1,   48,    7,     7.0,   1.000
  600, 920380051,    1,   48,    9,     9.0,   1.000
  600, 911450031,    1,   42,    7,     6.9,   0.990
  600, 921920011,    1,   56,    7,     7.0,   1.000
  600, 921450051,    1,   47,    7,     7.0,   0.998
  600, 920920011,    1,   26,    7,     7.0,   1.000
  600, 920080031,    1,   43,    7,     7.0,   1.000
  600, 910080011,    1,  103,    7,     6.9,   0.991
  600, 920590011,    1,   37,    7,     6.9,   0.992
  600, 911340091,    1,    7,    7,     7.0,   1.000
  600, 910890031,    1,   12,    9,     9.0,   1.000
  600, 911020351,    1,   14,    9,     9.0,   1.000
  600, 920890051,    1,   13,    9,     9.0,   1.000
  600, 911680031,    1,   58,    7,     7.0,   0.999
  600, 920960051,    1,   22,    9,     9.0,   1.000
  600, 920190011,    1,   13,    7,     7.0,   1.000
  600, 910120031,    1,   81,    7,     6.9,   0.993
  600, 920120051,    1,   20,    7,     7.0,   1.000
  600, 921580011,    1,   80,    7,     7.0,   0.996
  600, 910230011,    1,   76,    7,     7.0,   1.000
  600, 920230031,    1,   37,    7,     7.0,   1.000
  600, 310010431,    1,  106,   12,    12.0,   0.999
  600, 320010451,    1,  110,   12,    11.8,   0.983
  600, 320010431,    1,  106,   12,    11.7,   0.976
  600, 310010411,    1,  102,   12,    11.9,   0.989
  600, 910050011,    1,  192,    7,     6.9,   0.984
  600, 920490071,    1,  221,    7,     7.0,   1.000
  600, 920050021,    1,  192,    7,     7.0,   0.999
  600, 910870011,    1,   22,    7,     7.0,   1.000
  600, 910110011,    1,   33,    9,     8.9,   0.986
  600, 920110031,    1,   14,    9,     9.0,   1.000
  600, 911020211,    1,   36,    9,     9.0,   1.000
  600, 911300011,    1,   31,    7,     6.9,   0.988
  600, 911200091,    1,   27,    9,     9.0,   0.994
  600, 620100411,    1,   47,   12,    12.0,   1.000
  600, 620100551,    1,   47,    9,     9.0,   1.000
  600, 910660171,    1,   27,   12,    12.0,   0.998
  600, 910160011,    1,   52,    7,     7.0,   0.998
  600, 921290051,    1,   48,    7,     7.0,   1.000
  600, 922010051,    1,   68,    7,     7.0,   1.000
  600, 921000011,    1,  135,    7,     7.0,   1.000
  600, 911930011,    1,   26,    7,     7.0,   0.996
  600, 911840011,    1,   34,    7,     7.0,   1.000
  600, 920210351,    1,   64,   12,    12.0,   1.000
  600, 921800011,    1,   86,    7,     7.0,   1.000
  600, 320020331,    1,   14,   12,    12.0,   1.000
  600, 410020011,    1,   60,   15,    14.9,   0.993
  600, 610140011,    1,   29,   12,    11.0,   0.917
  600, 610140031,    1,   29,   12,    11.7,   0.973
  600, 420020091,    1,   71,   15,    15.0,   1.000
  600, 921560061,    1,   21,    7,     7.0,   1.000
  600, 911800111,    1,   94,    7,     7.0,   1.000
  600, 921380031,    1,   39,    7,     7.0,   1.000
  600, 921800051,    1,  104,    7,     7.0,   1.000
  600, 921330011,    1,   77,    7,     7.0,   1.000
  600, 920750051,    1,   28,    7,     7.0,   1.000
  600, 911870011,    1,  141,    7,     7.0,   0.994
  600, 911320051,    1,   19,    7,     7.0,   0.996
  600, 911090031,    1,   19,    7,     7.0,   1.000
  600, 921910031,    1,   27,    7,     7.0,   1.000
  600, 620100131,    1,   51,   12,    11.9,   0.995
  600, 310010271,    1,   17,    9,     9.0,   1.000
  600, 310010311,    1,   11,    9,     9.0,   1.000
  600, 910980011,    1,   15,    7,     7.0,   0.995
  600, 911790011,    1,   62,    7,     7.0,   1.000
  600, 920810051,    1,   49,    7,     7.0,   1.000
  600, 920450071,    1,   17,    7,     7.0,   1.000
  600, 920980091,    1,   21,    7,     7.0,   1.000
  600, 921310031,    1,   72,    7,     7.0,   0.998
  600, 620080091,    1,   19,   12,    12.0,   1.000
  600, 921180131,    1,   28,    9,     9.0,   0.996
  600, 920470071,    1,    9,    9,     9.0,   1.000
  600, 911610011,    1,    9,    7,     6.5,   0.928
  600, 910910071,    1,   22,    9,     9.0,   1.000
  600, 911610091,    1,   23,    7,     7.0,   0.999
  600, 910470011,    1,    8,    7,     4.1,   0.591
  600, 910400071,    1,    8,    7,     7.0,   0.994
  600, 911500011,    1,  103,    7,     7.0,   1.000
  600, 911020031,    1,   30,    9,     9.0,   1.000
  600, 910910011,    1,  171,    9,     8.9,   0.994
  600, 410050061,    1,   81,   18,    18.0,   1.000
  600, 610110011,    1,   80,   12,    12.0,   1.000
  600, 410070231,    1,   65,   15,    15.0,   1.000
  600, 610140231,    1,  127,   12,    11.9,   0.992
  600, 911350071,    1,   65,    7,     7.0,   1.000
  600, 620110071,    1,  103,   12,    12.0,   1.000
  600, 920210191,    1,   23,   12,    11.6,   0.964
  600, 910260011,    1,   17,   12,     9.0,   0.746
  600, 320010071,    1,  229,   12,    12.0,   1.000
  600, 620020031,    1,   49,   15,    15.0,   1.000
  600, 920240071,    1,   58,    9,     8.8,   0.979
  600, 911350011,    1,   32,    9,     7.7,   0.851
  600, 911020231,    1,    3,    9,     9.0,   1.000
  600, 910380071,    1,   21,    9,     8.9,   0.993
  600, 910620031,    1,   89,    7,     6.9,   0.989
  600, 910230051,    1,  101,    7,     7.0,   0.998
  600, 920310031,    1,   50,    7,     7.0,   1.000
  600, 921930011,    1,   26,    7,     7.0,   1.000
  600, 610100491,    1,    7,   12,    12.0,   0.998
  600, 920660131,    1,   13,   12,    12.0,   1.000
  600, 910550051,    1,   45,    7,     7.0,   1.000
  600, 910800051,    1,   45,    7,     7.0,   0.995
  600, 911280051,    1,   13,    7,     7.0,   1.000
  600, 911280091,    1,    7,    7,     7.0,   0.998
  600, 911550031,    1,    8,    7,     7.0,   0.999
  600, 620120011,    1,   33,   12,    12.0,   1.000
  600, 310020291,    1,   63,    9,     8.7,   0.971
  600, 920350051,    1,   45,    7,     7.0,   1.000
  600, 920350091,    1,   59,    7,     7.0,   1.000
  600, 911320151,    1,   79,    7,     6.9,   0.990
  600, 910420071,    1,   24,   12,    12.0,   0.997
  600, 921200091,    1,   27,    9,     9.0,   1.000
  600, 910520031,    1,   58,    7,     6.8,   0.968
  600, 910610031,    1,   53,    7,     7.0,   0.998
  600, 910830071,    1,  108,    7,     7.0,   0.999
  600, 911320011,    1,   33,    7,     6.9,   0.991
  600, 910600011,    1,   95,    7,     7.0,   1.000
  600, 910280011,    1,   47,    7,     7.0,   1.000
  600, 920220011,    1,   16,    7,     7.0,   1.000
  600, 921650011,    1,  156,    7,     7.0,   1.000
  600, 911120011,    1,   70,    9,     9.0,   1.000
  600, 921530011,    1,   37,    7,     7.0,   1.000
  600, 911020011,    1,  139,    9,     8.9,   0.985
  600, 910910051,    1,   37,    9,     9.0,   1.000
  600, 920400031,    1,   26,    7,     7.0,   1.000
  600, 921720071,    1,   22,    7,     7.0,   1.000
  600, 911020191,    1,    4,    9,     8.7,   0.969
  600, 620010031,    1,   27,   12,    12.0,   1.000
  600, 420070211,    1,   65,   15,    15.0,   1.000
  600, 911350051,    1,   32,    9,     9.0,   1.000
  600, 420050201,    1,   90,   18,    18.0,   1.000
  600, 310020031,    1,   15,   12,    11.9,   0.990
  600, 910210091,    1,   13,    9,     8.5,   0.944
  600, 310020071,    1,   17,   12,    12.0,   1.000
  600, 620100031,    1,  310,   12,    12.0,   1.000
  600, 920850051,    1,   15,    9,     8.9,   0.984
  600, 910040011,    1,   19,    7,     7.0,   0.996
  600, 910780011,    1,   32,    9,     9.0,   0.999
  600, 911490011,    1,   51,    7,     7.0,   0.999
  600, 920960091,    1,   83,    7,     7.0,   1.000
  600, 921250031,    1,   32,    7,     7.0,   1.000
  600, 910380031,    1,   63,    9,     8.9,   0.985
  600, 920800031,    1,   47,    7,     7.0,   1.000
  600, 911990031,    1,    9,    7,     7.0,   1.000
  600, 910430031,    1,   35,    7,     7.0,   1.000
  600, 911220031,    1,   36,    7,     7.0,   1.000
  600, 912000031,    1,   39,    7,     7.0,   1.000
  600, 920740031,    1,   50,    7,     7.0,   1.000
  600, 910350071,    1,   48,    7,     7.0,   0.993
  600, 310030091,    1,   28,   15,    14.8,   0.986
  600, 920720031,    1,   55,    7,     7.0,   1.000
  600, 920510031,    1,   59,    7,     7.0,   1.000
  600, 911780031,    1,    7,    7,     6.9,   0.991
  600, 920690011,    1,   50,    7,     7.0,   1.000
  600, 320020131,    1,   48,   12,    11.8,   0.984
  600, 710010031,    1,   35,   15,    15.0,   1.000
  600, 911510051,    1,   10,    7,     7.0,   0.997
  600, 410070051,    1,   21,   15,    14.7,   0.981
  600, 420050021,    1,   30,   18,    18.0,   1.000
  600, 910470171,    1,  108,    7,     6.9,   0.993
  600, 920500021,    1,  130,    9,     9.0,   1.000
  600, 911250051,    1,   32,   12,    12.0,   0.999
  600, 920210291,    1,   26,   12,    12.0,   1.000
  600, 910200071,    1,   18,    7,     7.0,   1.000
  600, 911030031,    1,   15,    7,     7.0,   1.000
  600, 921560021,    1,  129,    7,     7.0,   1.000
  600, 910210571,    1,    6,    7,     7.0,   1.000
  600, 921380071,    1,   11,    7,     7.0,   1.000
  600, 920830011,    1,  152,    7,     7.0,   1.000
  600, 620100271,    1,   64,   12,    12.0,   0.998
  600, 920330011,    1,  178,    7,     7.0,   1.000
  600, 921380051,    1,    8,    7,     7.0,   1.000
  600, 620100111,    1,   19,   12,    11.9,   0.996
  600, 920960151,    1,   69,    7,     7.0,   1.000
  600, 920450031,    1,   36,    7,     7.0,   1.000
  600, 920240031,    1,   56,    9,     8.9,   0.990
  600, 910340011,    1,   20,    7,     7.0,   0.993
  600, 911720091,    1,   11,    7,     7.0,   1.000
  600, 920250011,    1,   95,    7,     7.0,   1.000
  600, 310030151,    1,   65,   15,    15.0,   1.000
  600, 921200031,    1,   85,   12,    12.0,   1.000
  600, 420060031,    1,  195,    9,     9.0,   1.000
  600, 921560121,    1,   20,    7,     7.0,   1.000
  600, 920520011,    1,   59,    7,     7.0,   1.000
  600, 920270011,    1,   50,    7,     7.0,   0.998
  600, 920210451,    1,   50,   12,    11.9,   0.992
  600, 920960111,    1,   16,    7,     7.0,   1.000
  600, 920460071,    1,   48,    7,     7.0,   1.000
  600, 910460051,    1,    4,    7,     6.9,   0.990
  600, 910460031,    1,   51,    7,     6.9,   0.989
  600, 911960011,    1,   75,    7,     7.0,   0.997
  600, 911660011,    1,  120,    7,     7.0,   1.000
  600, 911140031,    1,   96,    9,     9.0,   1.000
  600, 620160011,    1,    6,    7,     6.9,   0.993
  600, 610070011,    1,  216,    9,     9.0,   1.000
  600, 921060031,    1,  157,    7,     7.0,   1.000
  600, 911060011,    1,  110,    7,     6.9,   0.988
  600, 921950011,    1,   36,    7,     7.0,   1.000
  600, 910440011,    1,  117,    7,     7.0,   1.000
  600, 921900011,    1,  229,    7,     7.0,   0.999
  600, 620050021,    1,  546,   12,    12.0,   0.997
  600, 910860011,    1,  149,    7,     7.0,   0.996
  600, 910490031,    1,  182,    7,     7.0,   1.000
  600, 920490051,    1,  212,    7,     7.0,   0.997
  600, 910490051,    1,  212,    7,     7.0,   1.000
  600, 910730031,    1,   59,    7,     7.0,   0.998
  600, 911340031,    1,   28,    7,     7.0,   1.000
  600, 910140031,    1,   18,    7,     7.0,   1.000
  600, 911630031,    1,   50,    7,     7.0,   1.000
  600, 921630011,    1,  111,    7,     7.0,   1.000
  600, 911270071,    1,   19,    7,     7.0,   0.999
  600, 921670021,    1,  145,    9,     9.0,   1.000
  600, 910650051,    1,   25,    9,     9.0,   0.995
  600, 610010071,    1,   25,   12,    11.6,   0.971
  600, 911370011,    1,   47,    7,     7.0,   1.000
  600, 921130011,    1,   45,    9,     9.0,   1.000
  600, 911810011,    1,   87,    7,     7.0,   1.000
  600, 910780031,    1,   28,    7,     7.0,   1.000
  600, 921170011,    1,   41,    7,     7.0,   0.998
  600, 911680051,    1,   28,    7,     7.0,   1.000
  600, 310010451,    1,  110,   12,    12.0,   1.000
  600, 610010111,    1,  110,   12,    11.6,   0.967
  600, 620010111,    1,  110,   12,    12.0,   1.000
  600, 610010091,    1,   82,   12,    11.6,   0.970
  600, 910650091,    1,   62,    7,     7.0,   1.000
  600, 920650091,    1,   62,    7,     7.0,   1.000
  600, 910650071,    1,   10,    9,     9.0,   1.000
  600, 910820011,    1,    9,    7,     7.0,   1.000
  600, 920820011,    1,    9,    7,     7.0,   1.000
  600, 620010091,    1,   82,   12,    12.0,   1.000
  600, 920650071,    1,   10,    9,     9.0,   1.000
  600, 410040011,    1,   30,   15,    15.0,   0.997
  600, 420040031,    1,   27,   15,    15.0,   1.000
  600, 911340051,    1,   10,    7,     7.0,   1.000
  600, 921340051,    1,   10,    7,     7.0,   0.997
  600, 910720011,    1,   29,    7,     7.0,   0.996
  600, 920720011,    1,   29,    7,     7.0,   1.000
  600, 911710031,    1,   35,    7,     7.0,   0.999
  600, 921710031,    1,   35,    7,     7.0,   1.000
  600, 911870051,    1,  147,    7,     7.0,   0.998
  600, 921870051,    1,  147,    7,     7.0,   1.000
  600, 610130031,    1,   39,   12,    11.6,   0.970
  600, 620130031,    1,   39,   12,    12.0,   1.000
  600, 610130011,    1,   43,   12,    10.9,   0.910
  600, 620130011,    1,   43,   12,    12.0,   1.000
  600, 610100311,    1,    2,   12,    11.9,   0.988
  600, 620100311,    1,    2,   12,    12.0,   1.000
  600, 310020011,    1,    2,   12,    10.9,   0.909
  600, 320020011,    1,    2,   12,    12.0,   1.000
  600, 921410011,    1,    2,    7,     7.0,   1.000
  600, 911410011,    1,    2,    7,     7.0,   1.000
  600, 910790011,    1,    2,    9,     8.8,   0.973
  600, 920790011,    1,    2,    9,     9.0,   1.000
  600, 410050081,    1,   42,   18,    18.0,   1.000
  600, 420050121,    1,   23,   18,    18.0,   1.000
 1200, 620100451,    1,   38,   12,    12.0,   1.000
 1200, 610040111,    1,   43,    9,     8.9,   0.992
 1200, 920300011,    1,   19,    9,     9.0,   1.000
 1200, 620100391,    1,   28,   12,    12.0,   1.000
 1200, 610040091,    1,   34,    9,     8.9,   0.989
 1200, 921000031,    1,   97,    7,     7.0,   1.000
 1200, 620100571,    1,   15,    9,     9.0,   1.000
 1200, 620100531,    1,    3,   12,    12.0,   1.000
 1200, 920430011,    1,   43,    7,     7.0,   1.000
 1200, 920840031,    1,   47,    7,     7.0,   1.000
 1200, 920160011,    1,   52,    7,     7.0,   1.000
 1200, 620100491,    1,    7,   12,    12.0,   1.000
 1200, 920200011,    1,   25,    7,     7.0,   1.000
 1200, 921740051,    1,  103,    7,     7.0,   1.000
 1200, 610040071,    1,   62,    9,     8.9,   0.989
 1200, 921030011,    1,   43,    7,     7.0,   1.000
 1200, 921220011,    1,   43,    7,     7.0,   1.000
 1200, 920660171,    1,   27,   12,    12.0,   1.000
 1200, 921970151,    1,   28,    7,     7.0,   1.000
 1200, 910660151,    1,    7,   12,    11.9,   0.994
 1200, 920660211,    1,   33,   12,    12.0,   1.000
 1200, 921110051,    1,   45,    7,     7.0,   1.000
 1200, 910660191,    1,    4,   12,    11.9,   0.995
 1200, 920660231,    1,   33,   12,    12.0,   1.000
 1200, 920550051,    1,   45,    7,     7.0,   1.000
 1200, 910660211,    1,   33,   12,    11.9,   0.996
 1200, 920800051,    1,   45,    7,     7.0,   1.000
 1200, 910660231,    1,    3,   12,    11.9,   0.995
 1200, 920150011,    1,   32,    7,     7.0,   1.000
 1200, 921990031,    1,    9,    7,     7.0,   0.999
 1200, 921990051,    1,   28,    7,     7.0,   1.000
 1200, 921280011,    1,   14,    7,     7.0,   1.000
 1200, 921280051,    1,   13,    7,     7.0,   1.000
 1200, 920200071,    1,   18,    7,     7.0,   1.000
 1200, 911380191,    1,   34,    7,     7.0,   0.998
 1200, 921740031,    1,  133,    7,     7.0,   1.000
 1200, 921550031,    1,    8,    7,     7.0,   1.000
 1200, 921550071,    1,    3,    7,     7.0,   1.000
 1200, 920160051,    1,   36,    7,     7.0,   1.000
 1200, 911260011,    1,   52,    7,     6.9,   0.984
 1200, 920680031,    1,   78,    7,     7.0,   1.000
 1200, 920830031,    1,   70,    7,     7.0,   1.000
 1200, 921380171,    1,   24,    7,     7.0,   1.000
 1200, 911380151,    1,   86,    7,     7.0,   1.000
 1200, 921290031,    1,    3,    7,     7.0,   1.000
 1200, 921840011,    1,   34,    7,     7.0,   1.000
 1200, 922010031,    1,    3,    7,     7.0,   1.000
 1200, 921010011,    1,   18,    7,     7.0,   1.000
 1200, 921970111,    1,   48,    7,     7.0,   1.000
 1200, 921990071,    1,   33,    7,     7.0,   1.000
 1200, 921990091,    1,   33,    7,     7.0,   1.000
 1200, 921030031,    1,   15,    7,     7.0,   1.000
 1200, 921010031,    1,   33,    7,     7.0,   1.000
 1200, 911010011,    1,   18,    7,     7.0,   1.000
 1200, 921010051,    1,   33,    7,     7.0,   1.000
 1200, 911010031,    1,   33,    7,     7.0,   1.000
 1200, 911010051,    1,   33,    7,     7.0,   1.000
 1200, 920430031,    1,   35,    7,     7.0,   1.000
 1200, 910430011,    1,   43,    7,     7.0,   1.000
 1200, 921280071,    1,   26,    7,     7.0,   1.000
 1200, 921280091,    1,    7,    7,     7.0,   1.000
 1200, 921220031,    1,   36,    7,     7.0,   1.000
 1200, 920200031,    1,   18,    7,     7.0,   1.000
 1200, 910300011,    1,   19,    9,     9.0,   0.998
 1200, 910930011,    1,   40,    7,     7.0,   0.999
 1200, 921550111,    1,    3,    7,     7.0,   1.000
 1200, 910660031,    1,   63,   12,    11.7,   0.971
 1200, 921200071,    1,   34,    9,     9.0,   1.000
 1200, 911800131,    1,   21,    7,     7.0,   1.000
 1200, 921200011,    1,   26,   12,    12.0,   1.000
 1200, 320030031,    1,   56,   15,    15.0,   1.000
 1200, 320030011,    1,   47,   15,    14.8,   0.990
 1200, 420030031,    1,   89,   12,    12.0,   1.000
 1200, 610120011,    1,   33,   12,    11.4,   0.952
 1200, 920210331,    1,   53,   12,    12.0,   1.000
 1200, 320030131,    1,   25,   15,    14.5,   0.970
 1200, 921200051,    1,   93,    9,     9.0,   1.000
 1200, 920350071,    1,   48,    7,     7.0,   1.000
 1200, 920350031,    1,  117,    7,     7.0,   1.000
 1200, 320030091,    1,   28,   15,    15.0,   1.000
 1200, 320030051,    1,   57,   15,    15.0,   1.000
 1200, 420020171,    1,   63,    9,     9.0,   1.000
 1200, 920210471,    1,   37,    9,     9.0,   1.000
 1200, 420020011,    1,   60,   15,    15.0,   1.000
 1200, 620040031,    1,   15,    9,     9.0,   1.000
 1200, 910350131,    1,   71,    7,     7.0,   1.000
 1200, 921870011,    1,  141,    7,     7.0,   1.000
 1200, 921850031,    1,   91,   12,    11.9,   0.994
 1200, 921320091,    1,   84,    7,     7.0,   1.000
 1200, 920210391,    1,  116,   12,    12.0,   1.000
 1200, 620140091,    1,   68,   12,    12.0,   1.000
 1200, 920520031,    1,   58,    7,     7.0,   1.000
 1200, 920610031,    1,   53,    7,     7.0,   1.000
 1200, 610140091,    1,   68,   12,    11.8,   0.981
 1200, 320030151,    1,   65,   15,    15.0,   1.000
 1200, 921690011,    1,   67,    7,     7.0,   1.000
 1200, 921750011,    1,   56,    7,     7.0,   1.000
 1200, 920170011,    1,   32,    7,     7.0,   0.997
 1200, 420020071,    1,   43,   15,    15.0,   1.000
 1200, 921430011,    1,   13,    7,     7.0,   1.000
 1200, 610140131,    1,   16,    9,     8.6,   0.960
 1200, 320030071,    1,   27,   15,    15.0,   1.000
 1200, 921960011,    1,   75,    7,     7.0,   1.000
 1200, 320030111,    1,   58,   15,    15.0,   1.000
 1200, 920600011,    1,   95,    7,     7.0,   1.000
 1200, 921700031,    1,   28,    7,     7.0,   1.000
 1200, 921660011,    1,  120,    7,     7.0,   1.000
 1200, 920360011,    1,   54,    7,     7.0,   1.000
 1200, 910610071,    1,   34,    7,     7.0,   1.000
 1200, 921320011,    1,   33,    7,     7.0,   1.000
 1200, 920280011,    1,   47,    7,     7.0,   1.000
 1200, 921970011,    1,   18,    7,     7.0,   1.000
 1200, 921690031,    1,    4,    7,     7.0,   1.000
 1200, 920110011,    1,   33,    9,     9.0,   1.000
 1200, 920460011,    1,   22,    7,     7.0,   1.000
 1200, 911320031,    1,   31,    7,     7.0,   0.996
 1200, 921090011,    1,   18,    7,     7.0,   1.000
 1200, 911090011,    1,   18,    7,     7.0,   1.000
 1200, 921090031,    1,   19,    7,     7.0,   1.000
 1200, 920600031,    1,   99,    7,     7.0,   1.000
 1200, 920280031,    1,    3,    7,     7.0,   1.000
 1200, 921700011,    1,   29,    7,     7.0,   1.000
 1200, 920100031,    1,   54,    7,     7.0,   1.000
 1200, 320010251,    1,   20,    9,     8.9,   0.992
 1200, 920980011,    1,   15,    7,     7.0,   1.000
 1200, 620100091,    1,   97,   12,    12.0,   0.997
 1200, 921790011,    1,   62,    7,     7.0,   0.999
 1200, 921310051,    1,   52,    7,     7.0,   1.000
 1200, 620100191,    1,    3,   12,    12.0,   1.000
 1200, 920960171,    1,   84,    7,     7.0,   1.000
 1200, 620100171,    1,  115,   12,    12.0,   1.000
 1200, 310010091,    1,  141,   15,    14.9,   0.995
 1200, 920140011,    1,   16,    7,     7.0,   1.000
 1200, 310010291,    1,    7,    9,     9.0,   1.000
 1200, 920730011,    1,   22,    7,     7.0,   0.999
 1200, 310010351,    1,   13,    9,     9.0,   1.000
 1200, 620100251,    1,   25,   12,    12.0,   0.999
 1200, 920810011,    1,   47,    7,     7.0,   1.000
 1200, 310010331,    1,   10,    9,     9.0,   1.000
 1200, 921780031,    1,    7,    7,     7.0,   1.000
 1200, 620100211,    1,   51,   12,    12.0,   1.000
 1200, 911900011,    1,  229,    7,     7.0,   1.000
 1200, 910290071,    1,   34,    7,     7.0,   0.995
 1200, 920690031,    1,   44,    7,     7.0,   1.000
 1200, 921310011,    1,   76,    7,     7.0,   0.998
 1200, 910490011,    1,   84,    7,     7.0,   1.000
 1200, 920810031,    1,   46,    7,     7.0,   1.000
 1200, 921340011,    1,   83,    7,     7.0,   1.000
 1200, 911120031,    1,  109,    9,     9.0,   1.000
 1200, 921120051,    1,   17,    7,     6.9,   0.991
 1200, 920070031,    1,   17,    7,     7.0,   0.999
 1200, 921340031,    1,   28,    7,     7.0,   1.000
 1200, 910090011,    1,  116,    7,     7.0,   1.000
 1200, 910370011,    1,   76,    7,     7.0,   1.000
 1200, 921440011,    1,   58,    7,     7.0,   1.000
 1200, 920980071,    1,    7,    7,     7.0,   1.000
 1200, 921890011,    1,   68,    7,     7.0,   1.000
 1200, 921160011,    1,    5,    7,     7.0,   1.000
 1200, 920140031,    1,   18,    7,     7.0,   1.000
 1200, 620140211,    1,   57,    9,     9.0,   1.000
 1200, 920210251,    1,   16,    9,     9.0,   1.000
 1200, 920420011,    1,   57,   12,    12.0,   1.000
 1200, 320020151,    1,   80,   12,    11.3,   0.938
 1200, 620100011,    1,   10,   12,    12.0,   1.000
 1200, 921270071,    1,   19,    7,     7.0,   1.000
 1200, 620080071,    1,   32,   12,    12.0,   1.000
 1200, 720020061,    1,  113,   15,    15.0,   1.000
 1200, 320020071,    1,   17,   12,    12.0,   1.000
 1200, 920780011,    1,   32,    9,     9.0,   1.000
 1200, 921350051,    1,   32,    9,     9.0,   1.000
 1200, 920470011,    1,    8,    7,     7.0,   1.000
 1200, 620010051,    1,   24,   12,    12.0,   1.000
 1200, 920210011,    1,   13,    9,     9.0,   1.000
 1200, 620010011,    1,   23,   12,    12.0,   1.000
 1200, 920470091,    1,   51,    9,     9.0,   1.000
 1200, 720020021,    1,  100,   15,    15.0,   1.000
 1200, 620080111,    1,  102,   12,    12.0,   1.000
 1200, 921020011,    1,  139,    9,     9.0,   1.000
 1200, 920910011,    1,  171,    9,     9.0,   1.000
 1200, 921020031,    1,   30,    9,     9.0,   1.000
 1200, 921020071,    1,   33,    9,     9.0,   1.000
 1200, 911020051,    1,   27,    9,     9.0,   0.997
